max_long_pct,min_short_pct,passed_trades,passed_wr,passed_expectancy,passed_sharpe,passed_max_dd_pct,passed_gross_pnl,passed_net_pnl,passed_fees,passed_fee_share,filtered_trades,filtered_winners,filtered_losers,filtered_wr,filtered_net_pnl,delta_sharpe,delta_expectancy,delta_net_pnl,suppression_pct
0.005,-0.005,19,0.10526315789473684,-0.2856469291883974,-11.773075058306631,4.8438460726180335,-3.0218229769997507,-5.427291654579551,2.4054686775798,0.7960322943761899,12,1,11,0.08333333333333333,-3.992543457260556,3.80613379509073,0.01821871958063831,3.992543457260555,38.70967741935484
0.005,-0.01,19,0.10526315789473684,-0.2856469291883974,-11.773075058306631,4.8438460726180335,-3.0218229769997507,-5.427291654579551,2.4054686775798,0.7960322943761899,12,1,11,0.08333333333333333,-3.992543457260556,3.80613379509073,0.01821871958063831,3.992543457260555,38.70967741935484
0.005,-0.015,19,0.10526315789473684,-0.2856469291883974,-11.773075058306631,4.8438460726180335,-3.0218229769997507,-5.427291654579551,2.4054686775798,0.7960322943761899,12,1,11,0.08333333333333333,-3.992543457260556,3.80613379509073,0.01821871958063831,3.992543457260555,38.70967741935484
0.005,-0.02,19,0.10526315789473684,-0.2856469291883974,-11.773075058306631,4.8438460726180335,-3.0218229769997507,-5.427291654579551,2.4054686775798,0.7960322943761899,12,1,11,0.08333333333333333,-3.992543457260556,3.80613379509073,0.01821871958063831,3.992543457260555,38.70967741935484
0.005,-0.03,19,0.10526315789473684,-0.2856469291883974,-11.773075058306631,4.8438460726180335,-3.0218229769997507,-5.427291654579551,2.4054686775798,0.7960322943761899,12,1,11,0.08333333333333333,-3.992543457260556,3.80613379509073,0.01821871958063831,3.992543457260555,38.70967741935484
0.005,-inf,19,0.10526315789473684,-0.2856469291883974,-11.773075058306631,4.8438460726180335,-3.0218229769997507,-5.427291654579551,2.4054686775798,0.7960322943761899,12,1,11,0.08333333333333333,-3.992543457260556,3.80613379509073,0.01821871958063831,3.992543457260555,38.70967741935484
0.01,-0.005,25,0.12,-0.30028066472611037,-13.5977584869038,6.65230256268171,-4.321649404285331,-7.507016618152759,3.1853672138674285,0.7370721027737304,6,0,6,0.0,-1.9128184936873476,1.9814503664935614,0.0035849840429253432,1.9128184936873467,19.354838709677423
0.01,-0.01,25,0.12,-0.30028066472611037,-13.5977584869038,6.65230256268171,-4.321649404285331,-7.507016618152759,3.1853672138674285,0.7370721027737304,6,0,6,0.0,-1.9128184936873476,1.9814503664935614,0.0035849840429253432,1.9128184936873467,19.354838709677423
0.01,-0.015,25,0.12,-0.30028066472611037,-13.5977584869038,6.65230256268171,-4.321649404285331,-7.507016618152759,3.1853672138674285,0.7370721027737304,6,0,6,0.0,-1.9128184936873476,1.9814503664935614,0.0035849840429253432,1.9128184936873467,19.354838709677423
0.01,-0.02,25,0.12,-0.30028066472611037,-13.5977584869038,6.65230256268171,-4.321649404285331,-7.507016618152759,3.1853672138674285,0.7370721027737304,6,0,6,0.0,-1.9128184936873476,1.9814503664935614,0.0035849840429253432,1.9128184936873467,19.354838709677423
0.01,-0.03,25,0.12,-0.30028066472611037,-13.5977584869038,6.65230256268171,-4.321649404285331,-7.507016618152759,3.1853672138674285,0.7370721027737304,6,0,6,0.0,-1.9128184936873476,1.9814503664935614,0.0035849840429253432,1.9128184936873467,19.354838709677423
0.01,-inf,25,0.12,-0.30028066472611037,-13.5977584869038,6.65230256268171,-4.321649404285331,-7.507016618152759,3.1853672138674285,0.7370721027737304,6,0,6,0.0,-1.9128184936873476,1.9814503664935614,0.0035849840429253432,1.9128184936873467,19.354838709677423
0.015,-0.005,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,-0.01,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,-0.015,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,-0.02,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,-0.03,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,-inf,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-0.005,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-0.01,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-0.015,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-0.02,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-0.03,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-inf,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.025,-0.005,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.025,-0.01,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.025,-0.015,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.025,-0.02,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.025,-0.03,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.025,-inf,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
inf,-0.005,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
inf,-0.01,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
inf,-0.015,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
inf,-0.02,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
inf,-0.03,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
inf,-inf,31,0.0967741935483871,-0.3038656487690357,-15.579208853397361,8.315622991975061,-5.455634835285277,-9.419835111840106,3.9642002765548283,0.726624929314489,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
