entry_time,exit_time,side,entry_price,exit_price,size,pnl,bars_held,exit_reason,regime,confidence
2026-01-13 00:25:00+00:00,2026-01-13 00:40:00+00:00,sell,91352.20105,91262.31835499998,1.2,-0.023623219971573503,3,take_profit,chop_mean_rev,0.5752581203047965
2026-01-13 08:50:00+00:00,2026-01-13 09:00:00+00:00,sell,92127.913,92307.93022500079,1.2,-0.3488144771229474,2,stop_loss,chop_mean_rev,0.602499850767209
2026-01-13 10:45:00+00:00,2026-01-13 13:30:00+00:00,buy,92049.30165,92231.23631250001,1.2,0.08563960766702162,33,take_profit,chop_mean_rev,0.5681839731236868
2026-01-13 19:40:00+00:00,2026-01-13 19:50:00+00:00,sell,93936.2084,94193.18521281859,1.2,-0.4438253387835282,2,stop_loss,chop_mean_rev,0.6218521070548756
2026-01-13 19:50:00+00:00,2026-01-13 20:05:00+00:00,sell,94117.91750000001,94366.99584092126,1.2,-0.43460314671095784,3,stop_loss,chop_mean_rev,0.6287208751311406
2026-01-14 22:40:00+00:00,2026-01-14 22:55:00+00:00,buy,97040.59605000001,96832.42087651794,1.1,-0.35694888200178093,3,stop_loss,chop_mean_rev,0.6425241312181654
2026-01-15 00:25:00+00:00,2026-01-15 00:35:00+00:00,buy,96698.5251,96391.90216918921,1.1,-0.4647249058895304,2,stop_loss,chop_mean_rev,0.5743957412798458
2026-01-15 00:35:00+00:00,2026-01-15 01:05:00+00:00,buy,96578.265,96869.610965,1.1,0.1928049633631005,6,take_profit,chop_mean_rev,0.5677345850134096
2026-01-15 09:40:00+00:00,2026-01-15 09:50:00+00:00,sell,96998.57645000001,97147.66157273672,1.1,-0.2921301521053865,2,stop_loss,chop_mean_rev,0.6689334993205229
2026-01-15 20:30:00+00:00,2026-01-15 21:45:00+00:00,buy,95176.7646,95499.92615,1.1,0.22963108910500485,15,take_profit,chop_mean_rev,0.5848201113813345
2026-01-15 22:00:00+00:00,2026-01-16 01:30:00+00:00,sell,95586.3829,95881.32921087109,1.1,-0.45080963195137563,42,stop_loss,chop_mean_rev,0.5632919134775585
2026-01-16 10:25:00+00:00,2026-01-16 10:35:00+00:00,buy,95447.19975,95213.54248798975,1.1,-0.38285907808835096,2,stop_loss,chop_mean_rev,0.5576816983293691
2026-01-16 12:25:00+00:00,2026-01-16 12:50:00+00:00,sell,95489.53135,95400.13122749998,1.1,-0.027647042551122783,5,take_profit,chop_mean_rev,0.5850082271086973
2026-01-18 01:10:00+00:00,2026-01-18 01:50:00+00:00,buy,94949.15084999999,94787.19898078822,1.1,-0.30337304702126816,8,stop_loss,chop_mean_rev,0.6227340774784672
2026-01-18 08:50:00+00:00,2026-01-18 09:35:00+00:00,sell,95125.11365,95267.88953741374,1.1,-0.2827128582588029,9,stop_loss,chop_mean_rev,0.6130512749860522
2026-01-18 18:50:00+00:00,2026-01-18 18:55:00+00:00,sell,95333.60935000001,95543.37354911242,1.1,-0.35671942773706633,1,stop_loss,chop_mean_rev,0.5657521762825362
2026-01-19 07:50:00+00:00,2026-01-19 07:55:00+00:00,sell,92732.31065,92839.85134676528,1.2,-0.2626607927560089,1,stop_loss,chop_mean_rev,0.7005525971567311
2026-01-19 07:55:00+00:00,2026-01-19 08:15:00+00:00,sell,92722.91535000001,92908.5535601426,1.1,-0.3267188006375369,4,stop_loss,chop_mean_rev,0.6065124880461017
2026-01-19 18:25:00+00:00,2026-01-19 20:10:00+00:00,buy,92970.66209999999,93136.53343750001,1.1,0.059627722195274756,21,take_profit,chop_mean_rev,0.6363170931974508
2026-01-20 12:20:00+00:00,2026-01-20 12:55:00+00:00,buy,91063.60905,91206.3190275,1.2,0.04001762478419418,7,take_profit,chop_mean_rev,0.6881401962645891
2026-01-21 00:40:00+00:00,2026-01-21 01:50:00+00:00,sell,88779.68795,89178.26908782433,1.2,-0.6064270944564216,14,stop_loss,chop_mean_rev,0.5751799501389717
2026-01-21 02:10:00+00:00,2026-01-21 02:30:00+00:00,sell,89210.1726,89016.94122749999,1.2,0.10355412504421573,4,take_profit,chop_mean_rev,0.5848948835249566
2026-01-21 03:45:00+00:00,2026-01-21 04:45:00+00:00,sell,89419.36795000001,89658.78917726391,1.2,-0.4162417458483075,12,stop_loss,chop_mean_rev,0.6001362558626231
2026-01-21 16:35:00+00:00,2026-01-21 16:40:00+00:00,buy,88860.90825,88702.90468350824,1.2,-0.31745022510222864,1,stop_loss,chop_mean_rev,0.6876310595015055
2026-01-21 18:50:00+00:00,2026-01-21 19:25:00+00:00,sell,88341.90695,88773.27925021254,1.2,-0.6451696943191931,7,stop_loss,chop_mean_rev,0.6043786718172498
2026-01-22 07:55:00+00:00,2026-01-22 09:05:00+00:00,buy,89807.58135,89942.916045,1.2,0.03298127587561475,14,take_profit,chop_mean_rev,0.5950140154978654
2026-01-22 13:45:00+00:00,2026-01-22 13:50:00+00:00,buy,89644.29974999999,89515.62248642526,1.2,-0.28340786029990567,1,stop_loss,chop_mean_rev,0.6794758989643958
2026-01-23 01:55:00+00:00,2026-01-23 02:55:00+00:00,sell,89854.35035000001,89666.2557225,1.2,0.09645871662780288,12,take_profit,chop_mean_rev,0.6144509700331428
2026-01-23 04:10:00+00:00,2026-01-23 05:15:00+00:00,sell,90005.97450000001,89829.39224999999,1.2,0.08241723594002559,13,take_profit,chop_mean_rev,0.6890043727277777
2026-01-23 05:25:00+00:00,2026-01-23 05:45:00+00:00,buy,89655.90555,89498.08609599118,1.2,-0.31837421879569194,4,stop_loss,chop_mean_rev,0.6367289038210078
2026-01-23 08:35:00+00:00,2026-01-23 09:15:00+00:00,buy,89268.01169999999,89065.14250810797,1.2,-0.3718429013002654,8,stop_loss,chop_mean_rev,0.602691459283611
