regime__efficiency_trend_threshold,regime__trend_strength_threshold,regime__anchor_slope_threshold,total_trades,long_trades,short_trades,win_rate,avg_win,avg_loss,profit_factor,total_pnl,total_roi,max_drawdown_pct,sharpe_ratio,initial_balance,final_balance,regime_metrics
0.1,0.002,0.001,23,23,0,0.08695652173913043,20.45141856012338,-31.62585494186293,0.0615873990494072,-623.2401166588749,-6.232401166588748,6.521158467689826,-12.855802136676713,10000.0,9376.759883341128,"{'range': {'trades': 23, 'win_rate': 0.08695652173913043, 'profit_factor': 0.0615873990494072, 'total_pnl': -623.2401166588749, 'avg_hold_bars': 3.130434782608696}}"
0.22,0.002,0.0006,25,25,0,0.08,20.451631582289437,-29.57442645487986,0.060133127146159655,-639.3085452976578,-6.393085452976578,6.6813869339495815,-12.98813061021669,10000.0,9360.691454702339,"{'range': {'trades': 25, 'win_rate': 0.08, 'profit_factor': 0.060133127146159655, 'total_pnl': -639.3085452976578, 'avg_hold_bars': 3.24}}"
0.1,0.0014,0.0015,25,25,0,0.08,20.327030386568172,-31.24865804033932,0.05656460054763959,-678.0650741546681,-6.780650741546681,7.067529816514726,-13.174112085467122,10000.0,9321.934925845328,"{'range': {'trades': 25, 'win_rate': 0.08, 'profit_factor': 0.05656460054763959, 'total_pnl': -678.0650741546681, 'avg_hold_bars': 3.08}}"
0.1,0.002,0.0015,25,25,0,0.08,20.327030386568172,-31.24865804033932,0.05656460054763959,-678.0650741546681,-6.780650741546681,7.067529816514726,-13.174112085467122,10000.0,9321.934925845328,"{'range': {'trades': 25, 'win_rate': 0.08, 'profit_factor': 0.05656460054763959, 'total_pnl': -678.0650741546681, 'avg_hold_bars': 3.08}}"
0.1,0.0008,0.0006,17,17,0,0.058823529411764705,13.127187596263761,-31.659026445048397,0.025915175445794757,-493.4172355245106,-4.9341723552451064,5.226747996435643,-13.176631777397208,10000.0,9506.58276447549,"{'range': {'trades': 17, 'win_rate': 0.058823529411764705, 'profit_factor': 0.025915175445794757, 'total_pnl': -493.4172355245106, 'avg_hold_bars': 3.0}}"
0.1,0.0008,0.0015,19,19,0,0.05263157894736842,13.086292930854842,-30.086071372795168,0.02416454660789552,-528.4629917794583,-5.284629917794583,5.576349992511158,-13.86628647222767,10000.0,9471.537008220543,"{'range': {'trades': 19, 'win_rate': 0.05263157894736842, 'profit_factor': 0.02416454660789552, 'total_pnl': -528.4629917794583, 'avg_hold_bars': 3.4210526315789473}}"
0.1,0.0014,0.0006,19,19,0,0.05263157894736842,13.086292930854842,-30.097025702059373,0.024155751506257126,-528.6601697062139,-5.286601697062139,5.578321770611723,-13.868468141284449,10000.0,9471.339830293788,"{'range': {'trades': 19, 'win_rate': 0.05263157894736842, 'profit_factor': 0.024155751506257126, 'total_pnl': -528.6601697062139, 'avg_hold_bars': 3.3157894736842106}}"
0.1,0.0008,0.001,19,19,0,0.05263157894736842,13.086292930854842,-30.097025702059373,0.024155751506257126,-528.6601697062139,-5.286601697062139,5.578321770611723,-13.868468141284449,10000.0,9471.339830293788,"{'range': {'trades': 19, 'win_rate': 0.05263157894736842, 'profit_factor': 0.024155751506257126, 'total_pnl': -528.6601697062139, 'avg_hold_bars': 3.3157894736842106}}"
0.15,0.0008,0.0006,19,19,0,0.05263157894736842,13.076069264502607,-30.562221657570344,0.023769485759633054,-537.0439205717636,-5.370439205717636,5.661931367134466,-14.145101607760914,10000.0,9462.956079428233,"{'range': {'trades': 19, 'win_rate': 0.05263157894736842, 'profit_factor': 0.023769485759633054, 'total_pnl': -537.0439205717636, 'avg_hold_bars': 3.1052631578947367}}"
0.15,0.0014,0.001,27,27,0,0.07407407407407407,20.24950080026222,-30.858492955733418,0.05249640889283913,-730.9633222928111,-7.3096332229281105,7.594917259353807,-14.235822758748194,10000.0,9269.036677707187,"{'range': {'trades': 27, 'win_rate': 0.07407407407407407, 'profit_factor': 0.05249640889283913, 'total_pnl': -730.9633222928111, 'avg_hold_bars': 3.1481481481481484}}"
